month,Addiction,ADHD,Alcoholism,Aleppo,Amazon rainforest,Anger management,Anorexia,Anxiety,Australia fires,Bahamas,Bees,Beirut,Bipolar,Black Lives Matter,BPD,Breakup,Bulimia,Cancer,Climate change,Coronavirus,Depression,Eating disorder,Flint Michigan,Flood,Fort McMurray,Grief,Haiti,Hoarding,Homelessness,Houston,Hurricane Harvey,India,Kerala,Las Vegas,Louisiana,Mental illness,Migrant children,Narcissism,Nepal,OCD,Orlando,Palestine,Panic attack,Paris,Poverty,PTSD,Puerto Rico,Quitting smoking,Rape,Refugee,Schizophrenia,Seizure,Self harm,Self-esteem,"Shortness of breath, covid",Standing Rock,Sudan,Suicidal ideation,Syria,Texas,Wildfire,Yemen
Jan 2018,73.97,67.03,46.53,0.00,0.00,6.98,24.07,31.41,0.00,1.41,24.48,0.00,45.37,1.24,6.98,66.35,70.74,71.77,#DIV/0!,0.00,81.08,20.94,5.39,3.62,0.00,66.27,0.00,34.79,54.33,0.63,1.66,6.11,0.00,2.04,1.59,38.06,0.00,21.03,0.00,27.64,2.77,0.00,26.76,0.00,55.58,35.19,4.87,38.23,10.47,4.74,20.94,54.66,23.81,55.49,0.00,0.00,0.00,0.00,2.58,6.60,0.00,2.05
Feb 2018,79.48,52.23,56.31,1.01,2.72,23.04,17.66,26.88,0.00,0.00,40.40,0.00,57.59,0.00,38.40,51.09,0.00,44.41,#DIV/0!,0.00,89.20,10.24,5.93,1.99,0.00,33.42,9.12,66.98,54.57,2.06,0.00,1.92,0.00,4.49,1.75,57.09,0.00,46.27,1.50,42.58,0.00,0.00,35.84,4.86,45.86,55.31,3.35,58.89,7.68,3.65,53.75,77.31,58.93,42.73,0.00,0.00,0.00,7.68,11.34,6.05,0.00,4.50
Mar 2018,65.41,89.43,55.88,0.00,1.24,34.92,56.21,17.46,0.00,0.00,12.25,3.19,73.34,0.00,48.89,39.83,58.99,35.91,#DIV/0!,0.00,87.04,13.97,5.39,3.63,0.00,74.60,2.77,43.52,66.18,1.25,0.00,3.49,0.00,0.00,0.00,62.32,1.11,42.09,1.37,44.26,0.00,0.00,47.73,2.21,60.25,45.28,1.83,45.91,20.95,4.75,6.98,62.51,59.55,94.39,0.00,0.00,5.02,13.97,10.32,4.40,0.00,0.00
Apr 2018,60.32,72.01,47.99,0.00,0.00,28.79,49.66,39.59,0.00,0.00,50.50,0.00,50.39,0.00,57.59,47.90,36.48,37.01,#DIV/0!,0.00,80.85,24.00,5.56,1.87,0.00,68.35,0.00,17.94,34.11,0.64,0.00,3.60,0.00,4.21,1.64,42.82,2.29,0.00,0.00,68.43,2.86,0.00,33.59,2.28,57.32,57.03,1.26,31.55,21.60,4.40,71.99,32.21,30.69,68.67,0.00,0.00,0.00,7.20,10.63,5.67,0.00,2.11
May 2018,68.57,54.23,61.83,0.00,0.00,21.40,24.61,17.83,0.00,0.00,62.55,0.00,35.67,0.00,28.54,74.59,48.20,55.01,#DIV/0!,0.00,82.31,14.27,16.53,5.55,2.86,87.49,0.00,71.11,36.21,0.64,0.00,4.46,2.21,2.09,0.00,45.97,3.40,21.49,0.00,39.55,0.00,100.00,34.48,0.00,42.60,35.97,1.25,54.71,14.27,2.91,42.80,63.84,36.49,45.37,0.00,0.00,0.00,14.27,3.95,7.87,5.04,0.00
Jun 2018,73.13,23.17,77.20,0.00,1.28,7.24,33.28,32.57,0.00,0.00,38.08,0.00,65.13,0.00,36.19,65.35,48.90,55.81,#DIV/0!,0.00,92.41,24.12,0.00,1.88,0.00,54.40,2.87,27.05,36.74,1.30,0.00,4.52,2.24,2.12,4.96,60.98,100.00,65.41,0.00,34.40,8.63,33.82,41.01,0.00,67.23,52.13,1.26,47.57,10.86,8.85,28.95,64.77,30.85,57.53,0.00,3.15,0.00,21.71,2.00,19.39,0.00,0.00
Jul 2018,82.72,51.43,64.27,0.00,0.00,35.71,73.89,39.28,0.00,0.00,25.05,0.00,42.85,0.00,35.71,64.49,12.06,59.66,#DIV/0!,0.00,82.95,16.66,5.52,5.56,0.00,53.68,0.00,80.08,41.08,0.64,0.00,5.36,4.42,2.09,0.00,46.01,4.54,21.51,1.40,45.25,2.84,33.37,46.42,0.00,47.39,72.01,0.62,31.29,24.99,4.85,14.28,55.92,12.18,56.77,0.00,0.00,0.00,0.00,0.66,12.38,10.09,2.09
Aug 2018,88.19,47.73,91.22,0.00,0.00,7.02,32.27,14.03,0.00,0.00,61.53,0.00,31.58,0.63,49.12,50.02,35.56,36.08,#DIV/0!,0.00,67.47,16.37,10.84,54.63,0.00,63.85,2.78,43.72,45.12,3.14,0.00,8.77,100.00,4.10,3.20,38.26,1.11,21.14,0.00,83.37,8.37,0.00,38.59,2.22,46.56,55.59,0.61,30.75,21.05,3.34,56.14,47.10,23.93,44.62,0.00,0.00,0.00,7.02,2.59,6.64,24.79,0.00
Sep 2018,51.04,100.00,64.27,0.00,0.00,28.56,32.84,24.99,0.00,0.00,0.00,0.00,46.42,0.64,42.85,54.30,24.12,36.71,#DIV/0!,0.00,76.90,9.52,5.51,7.41,0.00,59.32,2.83,17.80,48.33,1.28,0.00,4.46,0.00,0.00,1.63,67.25,3.40,43.03,1.40,79.19,0.00,0.00,30.94,2.26,47.38,66.86,0.62,31.29,21.42,2.43,49.99,63.91,36.53,68.12,0.00,0.00,0.00,14.28,0.00,5.63,5.04,18.83
Oct 2018,56.16,93.94,82.87,0.00,0.00,34.53,39.70,17.26,0.00,0.00,48.44,0.00,48.34,0.00,27.62,52.51,69.98,48.82,#DIV/0!,0.00,85.52,16.11,0.00,3.58,0.00,71.03,0.00,43.02,39.73,1.24,0.00,4.32,0.00,2.02,1.58,82.15,2.19,20.81,0.00,43.76,0.00,96.80,51.79,4.37,64.15,59.69,1.21,22.70,24.17,3.29,48.34,30.90,29.44,49.41,0.00,0.00,0.00,0.00,3.19,11.97,0.00,28.33
Nov 2018,71.51,76.46,68.42,0.93,1.25,14.16,81.37,14.16,0.00,0.00,12.41,0.00,42.47,0.00,56.62,84.09,23.91,54.58,#DIV/0!,0.00,86.02,14.16,10.93,5.51,0.00,50.40,0.00,52.91,64.67,3.17,0.00,6.19,2.19,2.07,0.00,70.16,0.00,42.65,0.00,33.64,5.63,33.07,42.47,2.24,56.36,91.76,0.00,54.28,17.69,2.89,49.54,47.50,42.24,56.26,0.00,0.00,0.00,14.16,2.61,3.35,100.00,22.81
Dec 2018,58.31,51.64,54.97,0.00,0.00,0.00,41.22,25.10,0.00,0.00,12.57,0.00,53.78,0.00,35.85,40.89,0.00,59.90,#DIV/0!,0.00,76.67,14.34,5.54,0.00,0.00,56.73,0.00,89.34,72.80,0.00,0.00,1.79,0.00,4.19,1.64,56.86,2.28,43.20,0.00,45.44,2.85,0.00,39.44,2.27,33.31,67.14,0.00,31.42,14.34,3.41,28.68,56.15,24.45,51.30,0.00,0.00,2.58,21.51,1.99,7.91,15.20,21.01
