month,Addiction,ADHD,Alcoholism,Aleppo,Amazon rainforest,Anger management,Anorexia,Anxiety,Australia fires,Bahamas,Bees,Beirut,Bipolar,Black Lives Matter,BPD,Breakup,Bulimia,Cancer,Climate change,Coronavirus,Depression,Eating disorder,Flint Michigan,Flood,Fort McMurray,Grief,Haiti,Hoarding,Homelessness,Houston,Hurricane Harvey,India,Kerala,Las Vegas,Louisiana,Mental illness,Migrant children,Narcissism,Nepal,OCD,Orlando,Palestine,Panic attack,Paris,Poverty,PTSD,Puerto Rico,Quitting smoking,Rape,Refugee,Schizophrenia,Seizure,Self harm,Self-esteem,"Shortness of breath, covid",Standing Rock,Sudan,Suicidal ideation,Syria,Texas,Wildfire,Yemen
Dec 2017,9.10,4.99,5.87,0.00,0.59,0.59,1.17,2.35,0.00,0.29,0.29,0.00,3.23,0.29,1.17,6.16,1.17,2.93,0.00,0.00,41.67,2.05,0.00,0.29,0.00,3.52,0.29,1.47,11.44,0.88,0.00,0.59,0.00,0.00,0.29,4.99,0.00,0.59,0.00,2.93,0.00,0.00,6.46,0.29,5.28,2.93,2.64,1.47,1.17,2.05,1.17,2.35,2.93,1.47,0.00,0.00,0.00,0.59,1.17,0.88,2.05,1.47
Jan 2018,11.62,6.49,5.41,0.00,0.00,0.27,0.81,2.43,0.00,0.27,0.54,0.00,3.51,0.54,0.27,5.41,1.62,4.33,0.00,0.00,40.82,2.43,0.27,0.54,0.00,6.49,0.00,1.08,6.22,0.27,0.54,1.89,0.00,0.27,0.27,2.97,0.00,0.27,0.00,1.35,0.27,0.00,6.22,0.00,3.24,1.89,2.16,1.35,0.81,2.70,0.81,1.89,1.08,2.70,0.00,0.00,0.00,0.00,1.08,1.62,0.00,0.27
Feb 2018,12.49,5.06,6.54,0.30,0.59,0.89,0.59,2.08,0.00,0.00,0.89,0.00,4.46,0.00,1.49,4.16,0.00,2.68,0.00,0.00,44.91,1.19,0.30,0.30,0.00,3.27,0.89,2.08,6.25,0.89,0.00,0.59,0.00,0.59,0.30,4.46,0.00,0.59,0.30,2.08,0.00,0.00,8.33,0.59,2.68,2.97,1.49,2.08,0.59,2.08,2.08,2.68,2.68,2.08,0.00,0.00,0.00,0.30,4.76,1.49,0.00,0.59
Mar 2018,10.28,8.66,6.49,0.00,0.27,1.35,1.89,1.35,0.00,0.00,0.27,0.27,5.68,0.00,1.89,3.25,1.35,2.16,0.00,0.00,43.82,1.62,0.27,0.54,0.00,7.30,0.27,1.35,7.57,0.54,0.00,1.08,0.00,0.00,0.00,4.87,0.27,0.54,0.27,2.16,0.00,0.00,11.09,0.27,3.52,2.43,0.81,1.62,1.62,2.71,0.27,2.16,2.71,4.60,0.00,0.00,0.54,0.54,4.33,1.08,0.00,0.00
Apr 2018,9.48,6.97,5.58,0.00,0.00,1.12,1.67,3.07,0.00,0.00,1.12,0.00,3.90,0.00,2.23,3.90,0.84,2.23,0.00,0.00,40.70,2.79,0.28,0.28,0.00,6.69,0.00,0.56,3.90,0.28,0.00,1.12,0.00,0.56,0.28,3.35,0.56,0.00,0.00,3.35,0.28,0.00,7.81,0.28,3.35,3.07,0.56,1.12,1.67,2.51,2.79,1.12,1.39,3.35,0.00,0.00,0.00,0.28,4.46,1.39,0.00,0.28
May 2018,10.77,5.25,7.18,0.00,0.00,0.83,0.83,1.38,0.00,0.00,1.38,0.00,2.76,0.00,1.11,6.08,1.11,3.32,0.00,0.00,41.44,1.66,0.83,0.83,0.28,8.56,0.00,2.21,4.14,0.28,0.00,1.38,0.28,0.28,0.00,3.59,0.83,0.28,0.00,1.93,0.00,0.83,8.01,0.00,2.49,1.93,0.55,1.93,1.11,1.66,1.66,2.21,1.66,2.21,0.00,0.00,0.00,0.55,1.66,1.93,0.28,0.00
Jun 2018,11.49,2.24,8.97,0.00,0.28,0.28,1.12,2.52,0.00,0.00,0.84,0.00,5.05,0.00,1.40,5.33,1.12,3.36,0.00,0.00,46.53,2.80,0.00,0.28,0.00,5.33,0.28,0.84,4.20,0.56,0.00,1.40,0.28,0.28,0.84,4.76,24.38,0.84,0.00,1.68,0.84,0.28,9.53,0.00,3.92,2.80,0.56,1.68,0.84,5.05,1.12,2.24,1.40,2.80,0.00,0.28,0.00,0.84,0.84,4.76,0.00,0.00
Jul 2018,13.00,4.98,7.47,0.00,0.00,1.38,2.49,3.04,0.00,0.00,0.55,0.00,3.32,0.00,1.38,5.25,0.28,3.60,0.00,0.00,41.76,1.94,0.28,0.83,0.00,5.25,0.00,2.49,4.70,0.28,0.00,1.66,0.55,0.28,0.00,3.60,1.11,0.28,0.28,2.21,0.28,0.28,10.79,0.00,2.77,3.87,0.28,1.11,1.94,2.77,0.55,1.94,0.55,2.77,0.00,0.00,0.00,0.00,0.28,3.04,0.55,0.28
Aug 2018,13.86,4.62,10.60,0.00,0.00,0.27,1.09,1.09,0.00,0.00,1.36,0.00,2.45,0.27,1.90,4.08,0.82,2.17,0.00,0.00,33.97,1.90,0.54,8.15,0.00,6.25,0.27,1.36,5.16,1.36,0.00,2.72,12.50,0.54,0.54,2.99,0.27,0.27,0.00,4.08,0.82,0.00,8.97,0.27,2.72,2.99,0.27,1.09,1.63,1.90,2.17,1.63,1.09,2.17,0.00,0.00,0.00,0.27,1.09,1.63,1.36,0.00
Sep 2018,8.02,9.68,7.47,0.00,0.00,1.11,1.11,1.94,0.00,0.00,0.00,0.00,3.60,0.28,1.66,4.42,0.55,2.21,0.00,0.00,38.72,1.11,0.28,1.11,0.00,5.81,0.28,0.55,5.53,0.55,0.00,1.38,0.00,0.00,0.28,5.25,0.83,0.55,0.28,3.87,0.00,0.00,7.19,0.28,2.77,3.60,0.28,1.11,1.66,1.38,1.94,2.21,1.66,3.32,0.00,0.00,0.00,0.55,0.00,1.38,0.28,2.49
